Fecha;Sensor;Lectura;Unidades de Lectura;Medida;Unidades de Medida;Flag;Flag Manipulación;Observaciones
20/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
20/10/2011 08:00:00;E012NEMBA;711,05;m.s.n.m.;711,05;m.s.n.m.;M;NC;
20/10/2011 08:00:00;E012TEMPMED;15,00;ºC;15,00;ºC;M;NC;
21/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
21/10/2011 08:00:00;E012NEMBA;711,03;m.s.n.m.;711,03;m.s.n.m.;M;NC;
21/10/2011 08:00:00;E012TEMPMED;14,20;ºC;14,20;ºC;M;NC;
22/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
22/10/2011 08:00:00;E012NEMBA;711,01;m.s.n.m.;711,01;m.s.n.m.;M;NC;
22/10/2011 08:00:00;E012TEMPMED;13,70;ºC;13,70;ºC;M;NC;
23/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
23/10/2011 08:00:00;E012NEMBA;711,00;m.s.n.m.;711,00;m.s.n.m.;M;NC;
23/10/2011 08:00:00;E012TEMPMED;15,20;ºC;15,20;ºC;M;NC;
24/10/2011 08:00:00;E012LLUVIAS;6,60;l/m²;6,60;l/m²;M;NC;
24/10/2011 08:00:00;E012NEMBA;710,98;m.s.n.m.;710,98;m.s.n.m.;M;NC;
24/10/2011 08:00:00;E012TEMPMED;13,80;ºC;13,80;ºC;M;NC;
25/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
25/10/2011 08:00:00;E012NEMBA;710,96;m.s.n.m.;710,96;m.s.n.m.;M;NC;
25/10/2011 08:00:00;E012TEMPMED;12,00;ºC;12,00;ºC;M;NC;
26/10/2011 08:00:00;E012LLUVIAS;9,00;l/m²;9,00;l/m²;M;NC;
26/10/2011 08:00:00;E012NEMBA;710,96;m.s.n.m.;710,96;m.s.n.m.;M;NC;
26/10/2011 08:00:00;E012TEMPMED;12,00;ºC;12,00;ºC;M;NC;
27/10/2011 08:00:00;E012LLUVIAS;20,50;l/m²;20,50;l/m²;M;NC;
